7656,,,,
city,latitude,longitude,address,services
Arlington Texas 76015,32.686479,-97.131347,Super Target Arlington ST-1339,24/7;breakfast
Arlington Texas 76015,32.69173,-97.128948,Parks Mall at Arlington,breakfast
Arlington Texas 76015,32.69173,-97.128948,South Arlington,drive thru
Arlington Texas 76016,32.677442,-97.199998,Little Rd - Office Park,drive thru
Arlington Texas 76016,32.688111,-97.190089,Albertsons-Arlington #4142,drive thru;cold brew
Arlington Texas 76017,32.66278,-97.134299,Cooper - Green Oaks,cold brew;breakfast;drive thru;24/7
Arlington Texas 76017,32.66278,-97.134299,S Cooper - Bardin,drive thru;breakfast
Arlington Texas 76017,32.7356,-97.107719,Matlock - Bardin,24/7;cold brew;breakfast
Arlington Virginia 22201,38.88619,-77.094319,The Market Common,drive thru;breakfast
Arlington Virginia 22201,38.896785,-77.095229,Spout Run,drive thru;24/7;breakfast
Arlington Virginia 22202,38.85525,-77.057604,Crowne Plaza Reagan National Airpor,breakfast;cold brew
Arlington Virginia 22202,38.855595,-77.060449,Crystal City,drive thru;24/7;breakfast;cold brew
Arlington Virginia 22202,38.855595,-77.060449,Crystal Park III,cold brew;24/7
Arlington Virginia 22202,38.855595,-77.060449,Marriott Crystal Gateway,breakfast;cold brew;drive thru
Arlington Virginia 22202,38.855595,-77.060449,Pentagon Centre,24/7;drive thru;breakfast;cold brew
Arlington Virginia 22202,38.855595,-77.060449,Pentagon Row,cold brew;drive thru;24/7;breakfast
Arlington Virginia 22202,38.862049,-77.061768,The Fashion Centre at Pentagon City,breakfast;24/7;cold brew
Arlington Virginia 22203,38.868455,-77.113139,Ballston Commons,cold brew;drive thru;24/7;breakfast
Arlington Virginia 22203,38.868455,-77.113139,Ballston Metro Center,24/7;cold brew;drive thru;breakfast
Arlington Virginia 22203,38.868455,-77.113139,Virginia Square Metro,24/7
Arlington Virginia 22203,38.868455,-77.113139,Westin Arlington Lobby,breakfast;cold brew;drive thru
Arlington Virginia 22205,38.87514,-77.133144,Lee Harrison S C,cold brew;drive thru
Arlington Virginia 22207,38.904431,-77.126062,Safeway-Arlington #4007,breakfast
Arlington Virginia 22207,38.904431,-77.126062,Safeway-Arlington #764,drive thru;24/7;cold brew;breakfast
Arlington Virginia 22209,38.889022,-77.078845,Safeway-Arlington #1048,drive thru;cold brew;24/7
Arlington Virginia 22209,38.89183,-77.079689,International Place,cold brew;breakfast
Arlington Washington 98223,48.17889,-122.193669,Smokey Point,drive thru;cold brew;24/7
Arlington Washington 98223,48.187179,-122.10183,Safeway - Arlington #534,drive thru
Arlington Washington 98223,48.187179,-122.10183,Safeway-Arlington #1522,cold brew;breakfast
Arroyo Grande California 93420,35.120945,-120.608779,Grand - Courtland  Arroyo Grande,24/7;drive thru
Arroyo Grande California 93420,35.134604,-120.53269,West Branch - Rancho Parkway,drive thru;cold brew;24/7;breakfast
Artesia California 907014002,33.86042,-118.079712,Pioneer - Artesia  Artesia,breakfast;24/7
Arvada Colorado 80002,39.795781,-105.101633,Super Target Arvada ST-2021,drive thru
Arvada Colorado 80003,39.816456,-105.057968,66th - Wadsworth-Arvada,24/7;cold brew
Arvada Colorado 80003,39.82616,-105.064909,Safeway-Arvada #1998,cold brew;drive thru
Arvada Colorado 80004,39.812545,-105.158544,64th - Ward,24/7;cold brew;breakfast
Arvada Colorado 80004,39.81485,-105.123704,Albertsons-Arvada #893,cold brew;breakfast;drive thru
Arvada Colorado 80004,39.81485,-105.123704,Safeway-Arvada #1107,drive thru;breakfast
Arvada Colorado 80005,39.84201,-105.120114,80th - Wadsworth,drive thru;breakfast;cold brew;24/7
Arvada Colorado 80007,39.794125,-105.144669,55th - Wadsworth,cold brew;24/7;breakfast
Ashburn Virginia 20147,39.036214,-77.511577,Ashburn Farm S C,24/7;breakfast;cold brew
Ashburn Virginia 20147,39.041592,-77.485162,Harris Teeter-Ashburn #242,breakfast;24/7;drive thru
Ashburn Virginia 20147,39.050419,-77.474548,Ashburn Village,drive thru
Ashburn Virginia 20147,39.05475,-77.481514,Safeway-Ashburn #2650,breakfast;drive thru;24/7;cold brew
Ashburn Virginia 20147,39.060345,-77.471029,Ashbrook Commons,drive thru;cold brew
Ashburn Virginia 20148,39.024619,-77.507983,Broadlands,drive thru
Asheville North Carolina 28801,35.596361,-82.555167,Target Asheville T-2011,24/7;breakfast
Asheville North Carolina 28801,35.610875,-82.545814,Charlotte St.,drive thru;24/7
Asheville North Carolina 28803,35.517415,-82.524814,Parkway Centre,drive thru;breakfast
Asheville North Carolina 28803,35.532827,-82.528025,Biltmore Village,drive thru;24/7;cold brew;breakfast
Asheville North Carolina 28804,35.6396,-82.564203,Ingles-Asheville#3,breakfast;drive thru
Ashland Ohio 44805,40.870085,-82.298625,TA - Ashland,drive thru
Ashland Oregon 97520,42.0717,-122.615019,Ashland,cold brew;drive thru;breakfast;24/7
Ashland Oregon 97520,42.17422,-122.669339,Siskiyou - Madrona,breakfast;cold brew;drive thru;24/7
Ashland Oregon 97520,42.210868,-122.57036,Albertsons-Ashland #573,drive thru;cold brew
Aspen Colorado 81611,39.19944,-106.835721,Intrawest - Aspen,breakfast;cold brew;drive thru;24/7
Astoria New York 111033911,40.768391,-73.911301,Steinway Street,cold brew;breakfast;drive thru
Astoria New York 11105,40.77449,-73.904069,Astoria Ditmars,24/7;cold brew;breakfast
Astoria New York 11106,40.762112,-73.932408,Kaufman Studios,cold brew;24/7;breakfast
Astoria Oregon 97103,46.187016,-123.853824,Safeway-Astoria #2627,cold brew;24/7;breakfast;drive thru
Atascadero California 93422,35.459315,-120.642984,El Camino Real - Morro  Atascadero,breakfast
Atascadero California 93422,35.47839,-120.66876,Albertsons-Atascadero #1690 6390,drive thru;breakfast;24/7
Athens Georgia 30601,33.973985,-83.324379,Athens,drive thru
Athens Ohio 45701,39.317364,-82.101517,Kroger-Athens #901,24/7
Atlanta Georgia 30303,33.748315,-84.391109,Atlanta Merchandise Mart,cold brew
Atlanta Georgia 30303,33.748315,-84.391109,Equitable,breakfast
Atlanta Georgia 30303,33.754397,-84.389912,Westin Peachtree Plaza - Lobby,24/7
Atlanta Georgia 30303,33.758674,-84.394737,CNN Center,drive thru;breakfast
Atlanta Georgia 30305,33.837963,-84.374963,Buckhead (B-N),24/7;drive thru;cold brew
Atlanta Georgia 30305,33.839255,-84.380029,Disco Kroger,24/7
Atlanta Georgia 30305,33.839255,-84.380029,Peachtree Battle,cold brew
Atlanta Georgia 30306,33.779605,-84.335351,Virginia Highlands,drive thru;breakfast;24/7;cold brew
Atlanta Georgia 30307,33.755545,-84.359979,Emory Village,24/7;cold brew;breakfast;drive thru
Atlanta Georgia 30307,33.755545,-84.359979,Little Five Points,breakfast
Atlanta Georgia 30307,33.76723,-84.339369,Kroger - Atlanta #461,breakfast;cold brew;drive thru
Atlanta Georgia 30307,33.76723,-84.339369,Target Edgewood T-1964,cold brew;drive thru;breakfast
Atlanta Georgia 30308,33.771275,-84.380929,Georgia Tech - Student Union (B-N),cold brew;drive thru
Atlanta Georgia 30308,33.778138,-84.384153,867 Peachtree,drive thru;cold brew
Atlanta Georgia 30309,33.786522,-84.386711,21 14th Street,cold brew;drive thru;breakfast
Atlanta Georgia 30318,33.79101,-84.405032,Peachtree  17th,breakfast;24/7;drive thru
Atlanta Georgia 30319,33.872075,-84.326904,Brookhaven,cold brew;drive thru
Atlanta Georgia 30319,33.872075,-84.326904,Cambridge Square,breakfast;drive thru;24/7;cold brew
